inventory_id,source_path,line,anchor,rule_text,extraction_basis,decision_kind,language,domain,backend_expected,detector_expected,fixture_expected,test_expected,failure_criterion,source_hash
ARS-RULE-00137,ai-ressources/code-conventions/cli.md,28,#command-registration-commander-js,"Use `InvalidArgumentError` for argument validation, not manual `process.exit`",list-or-table-row+normative-keyword,executable-candidate,shell,code,source-family:shell_code,source-family.shell_code.detector,generated/shell_code,pytest:tests/test_conventions_source_family_checks.py::shell_code,"The final implementation must provide a deterministic detector, PASS fixture, FAIL fixture, and focused test proving this exact ARS obligation fails when violated and passes when respected.",sha256:65402a26948172daa7145a287e8a10c394c46fd42a8230437e4107cc05f3268f
ARS-RULE-00138,ai-ressources/code-conventions/cli.md,29,#command-registration-commander-js,Use `.parseAsync()` not `.parse()` — async commands need it,list-or-table-row+normative-keyword,executable-candidate,shell,code,source-family:shell_code,source-family.shell_code.detector,generated/shell_code,pytest:tests/test_conventions_source_family_checks.py::shell_code,"The final implementation must provide a deterministic detector, PASS fixture, FAIL fixture, and focused test proving this exact ARS obligation fails when violated and passes when respected.",sha256:65402a26948172daa7145a287e8a10c394c46fd42a8230437e4107cc05f3268f
ARS-RULE-00145,ai-ressources/code-conventions/cli.md,40,#rules,"**isTTY guard is mandatory** — never read stdin without checking `!process.stdin.isTTY` first, or the command hangs waiting for terminal input",list-or-table-row+normative-keyword,executable-candidate,shell,code,source-family:shell_code,source-family.shell_code.detector,generated/shell_code,pytest:tests/test_conventions_source_family_checks.py::shell_code,"The final implementation must provide a deterministic detector, PASS fixture, FAIL fixture, and focused test proving this exact ARS obligation fails when violated and passes when respected.",sha256:65402a26948172daa7145a287e8a10c394c46fd42a8230437e4107cc05f3268f
ARS-RULE-00152,ai-ressources/code-conventions/cli.md,93,#build-pipeline,Always include `bin` field in `package.json` for installable CLIs,list-or-table-row+normative-keyword,executable-candidate,shell,code,source-family:shell_code,source-family.shell_code.detector,generated/shell_code,pytest:tests/test_conventions_source_family_checks.py::shell_code,"The final implementation must provide a deterministic detector, PASS fixture, FAIL fixture, and focused test proving this exact ARS obligation fails when violated and passes when respected.",sha256:65402a26948172daa7145a287e8a10c394c46fd42a8230437e4107cc05f3268f
ARS-RULE-00155,ai-ressources/code-conventions/cli.md,96,#build-pipeline,Use esbuild `define` for build-time feature gates (dead-code elimination),list-or-table-row+normative-keyword,executable-candidate,shell,code,source-family:shell_code,source-family.shell_code.detector,generated/shell_code,pytest:tests/test_conventions_source_family_checks.py::shell_code,"The final implementation must provide a deterministic detector, PASS fixture, FAIL fixture, and focused test proving this exact ARS obligation fails when violated and passes when respected.",sha256:65402a26948172daa7145a287e8a10c394c46fd42a8230437e4107cc05f3268f
ARS-RULE-00156,ai-ressources/code-conventions/cli.md,109,#startup-optimization,Never `await` at the top of the entry point for non-essential I/O,list-or-table-row+normative-keyword,executable-candidate,shell,code,source-family:shell_code,source-family.shell_code.detector,generated/shell_code,pytest:tests/test_conventions_source_family_checks.py::shell_code,"The final implementation must provide a deterministic detector, PASS fixture, FAIL fixture, and focused test proving this exact ARS obligation fails when violated and passes when respected.",sha256:65402a26948172daa7145a287e8a10c394c46fd42a8230437e4107cc05f3268f
ARS-RULE-00157,ai-ressources/code-conventions/cli.md,110,#startup-optimization,Use `Promise.all` not sequential `await` for independent I/O operations,list-or-table-row+normative-keyword,executable-candidate,shell,code,source-family:shell_code,source-family.shell_code.detector,generated/shell_code,pytest:tests/test_conventions_source_family_checks.py::shell_code,"The final implementation must provide a deterministic detector, PASS fixture, FAIL fixture, and focused test proving this exact ARS obligation fails when violated and passes when respected.",sha256:65402a26948172daa7145a287e8a10c394c46fd42a8230437e4107cc05f3268f
ARS-RULE-00158,ai-ressources/code-conventions/cli.md,114,#custom-error-classes,One error class per category — always set `this.name` explicitly (survives minification),list-or-table-row+normative-keyword,executable-candidate,shell,code,source-family:shell_code,source-family.shell_code.detector,generated/shell_code,pytest:tests/test_conventions_source_family_checks.py::shell_code,"The final implementation must provide a deterministic detector, PASS fixture, FAIL fixture, and focused test proving this exact ARS obligation fails when violated and passes when respected.",sha256:65402a26948172daa7145a287e8a10c394c46fd42a8230437e4107cc05f3268f
ARS-RULE-00159,ai-ressources/code-conventions/cli.md,115,#custom-error-classes,Use dual detection: `instanceof` (dev) + `.name` check (minified prod builds),list-or-table-row+normative-keyword+colon-normative,executable-candidate,shell,code,source-family:shell_code,source-family.shell_code.detector,generated/shell_code,pytest:tests/test_conventions_source_family_checks.py::shell_code,"The final implementation must provide a deterministic detector, PASS fixture, FAIL fixture, and focused test proving this exact ARS obligation fails when violated and passes when respected.",sha256:65402a26948172daa7145a287e8a10c394c46fd42a8230437e4107cc05f3268f
ARS-RULE-00160,ai-ressources/code-conventions/cli.md,133,#cli-error-boundary,Always include a hint on what the user should do next,list-or-table-row+normative-keyword,executable-candidate,shell,code,source-family:shell_code,source-family.shell_code.detector,generated/shell_code,pytest:tests/test_conventions_source_family_checks.py::shell_code,"The final implementation must provide a deterministic detector, PASS fixture, FAIL fixture, and focused test proving this exact ARS obligation fails when violated and passes when respected.",sha256:65402a26948172daa7145a287e8a10c394c46fd42a8230437e4107cc05f3268f
ARS-RULE-00161,ai-ressources/code-conventions/cli.md,134,#cli-error-boundary,"Use `process.exit(1)` on error, `process.exit(0)` on success",list-or-table-row+normative-keyword,executable-candidate,shell,code,source-family:shell_code,source-family.shell_code.detector,generated/shell_code,pytest:tests/test_conventions_source_family_checks.py::shell_code,"The final implementation must provide a deterministic detector, PASS fixture, FAIL fixture, and focused test proving this exact ARS obligation fails when violated and passes when respected.",sha256:65402a26948172daa7145a287e8a10c394c46fd42a8230437e4107cc05f3268f
ARS-RULE-00162,ai-ressources/code-conventions/cli.md,135,#cli-error-boundary,"Never `process.exit()` in services — throw errors, let the boundary call `exit`",list-or-table-row+normative-keyword,executable-candidate,shell,code,source-family:shell_code,source-family.shell_code.detector,generated/shell_code,pytest:tests/test_conventions_source_family_checks.py::shell_code,"The final implementation must provide a deterministic detector, PASS fixture, FAIL fixture, and focused test proving this exact ARS obligation fails when violated and passes when respected.",sha256:65402a26948172daa7145a287e8a10c394c46fd42a8230437e4107cc05f3268f
ARS-RULE-00163,ai-ressources/code-conventions/cli.md,136,#cli-error-boundary,Never swallow errors silently,list-or-table-row+normative-keyword,executable-candidate,shell,code,source-family:shell_code,source-family.shell_code.detector,generated/shell_code,pytest:tests/test_conventions_source_family_checks.py::shell_code,"The final implementation must provide a deterministic detector, PASS fixture, FAIL fixture, and focused test proving this exact ARS obligation fails when violated and passes when respected.",sha256:65402a26948172daa7145a287e8a10c394c46fd42a8230437e4107cc05f3268f
ARS-RULE-00167,ai-ressources/code-conventions/cli.md,144,#colors-and-spinners,"`ora` for spinners — always `succeed()`, `fail()`, or `stop()`, never leave running",list-or-table-row+normative-keyword,executable-candidate,shell,code,source-family:shell_code,source-family.shell_code.detector,generated/shell_code,pytest:tests/test_conventions_source_family_checks.py::shell_code,"The final implementation must provide a deterministic detector, PASS fixture, FAIL fixture, and focused test proving this exact ARS obligation fails when violated and passes when respected.",sha256:65402a26948172daa7145a287e8a10c394c46fd42a8230437e4107cc05f3268f
ARS-RULE-00168,ai-ressources/code-conventions/cli.md,147,#interactive-tui-ink,Use **Ink** (React for terminal) only for continuously-updating interactive UI — not for simple one-shot commands,list-or-table-row+normative-keyword,executable-candidate,shell,code,source-family:shell_code,source-family.shell_code.detector,generated/shell_code,pytest:tests/test_conventions_source_family_checks.py::shell_code,"The final implementation must provide a deterministic detector, PASS fixture, FAIL fixture, and focused test proving this exact ARS obligation fails when violated and passes when respected.",sha256:65402a26948172daa7145a287e8a10c394c46fd42a8230437e4107cc05f3268f
ARS-RULE-00169,ai-ressources/code-conventions/cli.md,148,#interactive-tui-ink,Always guard with `process.stdout.isTTY` — provide non-interactive fallback,list-or-table-row+normative-keyword,executable-candidate,shell,code,source-family:shell_code,source-family.shell_code.detector,generated/shell_code,pytest:tests/test_conventions_source_family_checks.py::shell_code,"The final implementation must provide a deterministic detector, PASS fixture, FAIL fixture, and focused test proving this exact ARS obligation fails when violated and passes when respected.",sha256:65402a26948172daa7145a287e8a10c394c46fd42a8230437e4107cc05f3268f
ARS-RULE-00171,ai-ressources/code-conventions/cli.md,152,#esm-imports,Use `.js` extension for local imports even in `.ts` files — Node.js ESM requires it:,normative-keyword+colon-normative,executable-candidate,shell,code,source-family:shell_code,source-family.shell_code.detector,generated/shell_code,pytest:tests/test_conventions_source_family_checks.py::shell_code,"The final implementation must provide a deterministic detector, PASS fixture, FAIL fixture, and focused test proving this exact ARS obligation fails when violated and passes when respected.",sha256:65402a26948172daa7145a287e8a10c394c46fd42a8230437e4107cc05f3268f
ARS-RULE-00175,ai-ressources/code-conventions/cli.md,166,#testing,Mock the service layer — commands should have no business logic to test directly,list-or-table-row+normative-keyword,executable-candidate,shell,code,source-family:shell_code,source-family.shell_code.detector,generated/shell_code,pytest:tests/test_conventions_source_family_checks.py::shell_code,"The final implementation must provide a deterministic detector, PASS fixture, FAIL fixture, and focused test proving this exact ARS obligation fails when violated and passes when respected.",sha256:65402a26948172daa7145a287e8a10c394c46fd42a8230437e4107cc05f3268f
ARS-RULE-00176,ai-ressources/code-conventions/cli.md,167,#testing,"Use `vi.spyOn(process, ""exit"")` to assert exit codes without actually exiting",list-or-table-row+normative-keyword,executable-candidate,shell,code,source-family:shell_code,source-family.shell_code.detector,generated/shell_code,pytest:tests/test_conventions_source_family_checks.py::shell_code,"The final implementation must provide a deterministic detector, PASS fixture, FAIL fixture, and focused test proving this exact ARS obligation fails when violated and passes when respected.",sha256:65402a26948172daa7145a287e8a10c394c46fd42a8230437e4107cc05f3268f
ARS-RULE-00178,ai-ressources/code-conventions/cli.md,169,#testing,Never test against real network/filesystem in unit tests,list-or-table-row+normative-keyword,executable-candidate,shell,code,source-family:shell_code,source-family.shell_code.detector,generated/shell_code,pytest:tests/test_conventions_source_family_checks.py::shell_code,"The final implementation must provide a deterministic detector, PASS fixture, FAIL fixture, and focused test proving this exact ARS obligation fails when violated and passes when respected.",sha256:65402a26948172daa7145a287e8a10c394c46fd42a8230437e4107cc05f3268f
ARS-RULE-00180,ai-ressources/code-conventions/cli.md,174,#anti-patterns,`strict: false` in tsconfig | `strict: true` always,list-or-table-row+normative-keyword+colon-normative,executable-candidate,shell,code,source-family:shell_code,source-family.shell_code.detector,generated/shell_code,pytest:tests/test_conventions_source_family_checks.py::shell_code,"The final implementation must provide a deterministic detector, PASS fixture, FAIL fixture, and focused test proving this exact ARS obligation fails when violated and passes when respected.",sha256:65402a26948172daa7145a287e8a10c394c46fd42a8230437e4107cc05f3268f
ARS-RULE-00187,ai-ressources/code-conventions/cli.md,181,#anti-patterns,"Required positional for text input, no stdin | Optional `[arg]` + `resolveInput()` from stdin",list-or-table-row+normative-keyword,executable-candidate,shell,code,source-family:shell_code,source-family.shell_code.detector,generated/shell_code,pytest:tests/test_conventions_source_family_checks.py::shell_code,"The final implementation must provide a deterministic detector, PASS fixture, FAIL fixture, and focused test proving this exact ARS obligation fails when violated and passes when respected.",sha256:65402a26948172daa7145a287e8a10c394c46fd42a8230437e4107cc05f3268f
